FID,COMID,UID,BSN_COUNT,AreaSqKM,RPU,COMID_1,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,inStreamCat,PctCarbResidCat,PctNonCarbResidCat,PctAlkIntruVolCat,PctSilicicCat,PctExtruVolCat,PctColluvSedCat,PctGlacTilClayCat,PctGlacTilLoamCat,PctGlacTilCrsCat,PctGlacLakeCrsCat,PctGlacLakeFineCat,PctHydricCat,PctEolCrsCat,PctEolFineCat,PctSalLakeCat,PctAlluvCoastCat,PctCoastCrsCat,PctWaterCat,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs
123468,23777663,124477,164,0.1476,17c,23777663,0.1476,0.1476,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123745,23777683,124754,592,0.5328,17c,23777683,0.5328,0.5328,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
123753,23777707,124762,315,0.2835,17c,23777707,0.2835,2.1672,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8089701,0,0,0,5.1910299,0,0,0,0,0,0,0,0,0
123748,23777723,124757,81,0.0729,17c,23777723,0.0729,0.0729,100,100,0,0,0,0,0,2.469135802,0,0,0,97.5308642,0,0,0,0,0,0,0,0,0,0,0,0,0,2.469135802,0,0,0,97.5308642,0,0,0,0,0,0,0,0,0
123675,23783573,124684,483,0.4347,17c,23783573,0.4347,0.4347,100,100,0,0,0,0,0,99.58592133,0,0,0,0.414078675,0,0,0,0,0,0,0,0,0,0,0,0,0,99.58592133,0,0,0,0.414078675,0,0,0,0,0,0,0,0,0
123650,23783611,124659,188,0.1692,17c,23783611,0.1692,0.1692,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123677,23783649,124686,565,0.5085,17c,23783649,0.5085,0.5085,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123669,23783701,124678,992,0.8928,17c,23783701,0.8928,0.8928,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123672,23783705,124681,95,0.0855,17c,23783705,0.0855,0.0855,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123654,23783721,124663,62,0.0558,17c,23783721,0.0558,0.0558,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123659,23783729,124668,178,0.1602,17c,23783729,0.1602,0.2853,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123657,23783733,124666,139,0.1251,17c,23783733,0.1251,0.1251,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123663,23783741,124672,221,0.1989,17c,23783741,0.1989,0.1989,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123661,23783757,124670,917,0.8253,17c,23783757,0.8253,0.8253,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123652,23783761,124661,125,0.1125,17c,23783761,0.1125,0.1125,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
123653,23783765,124662,395,0.3555,17c,23783765,0.3555,0.3555,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123644,23788947,124653,888,0.7992,17c,23788947,0.7992,0.7992,100,100,0,0,0,0,1.013513514,0,98.98648649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.013513514,0,98.98648649,0,0,0,0,0,0,0,0,0,0,0,0
123642,23788957,124651,388,0.3492,17c,23788957,0.3492,0.3492,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
123893,23788997,124902,1383,1.2447,17c,23788997,1.2447,1.7127,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123910,23789001,124919,520,0.468,17c,23789001,0.468,0.468,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123649,23812582,124658,1813,1.6317,17c,23812582,1.6317,1.6317,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123641,23812604,124650,362,0.3258,17c,23812604,0.3258,0.3258,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123670,23812622,124679,3993,3.5937,17c,23812622,3.5937,3.5937,100,100,0,0,0,0,0,91.8357125,0,0,0,8.164287503,0,0,0,0,0,0,0,0,0,0,0,0,0,91.8357125,0,0,0,8.164287503,0,0,0,0,0,0,0,0,0
123655,23812626,124664,317,0.2853,17c,23812626,0.2853,0.2853,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123651,23812630,124660,934,0.8406,17c,23812630,0.8406,0.8406,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
